lifecycle_kind,campaign_id,symbol,raw_direction,started_at_utc,updated_at_utc,event_count,selected_by_pressure,max_reported_pressure_count,latest_pressure_level,campaign_anchor_source,campaign_anchor_execution_grade,legacy_grouping_rule_version,tradeplan_replay_status
RAW_REPLAY,AUDJPY_20260720T065137Z_20260720T065637Z,AUDJPY,BUY,2026-07-20T06:57:35.757979+00:00,2026-07-20T07:20:21.200691+00:00,17,False,1,MICROBOOST_WATCH,SOURCE_CLEAN_BLOCK_ID,True,,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,AUDCHF_20260720T065140Z_20260720T065640Z,AUDCHF,BUY,2026-07-20T06:57:37.270584+00:00,2026-07-20T06:59:03.481707+00:00,2,False,1,MICROBOOST_WATCH,SOURCE_CLEAN_BLOCK_ID,True,,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,NZDJPY_20260720T065141Z_20260720T065641Z,NZDJPY,BUY,2026-07-20T06:57:38.081167+00:00,2026-07-20T07:20:27.573832+00:00,17,False,1,MICROBOOST_WATCH,SOURCE_CLEAN_BLOCK_ID,True,,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,NZDCAD_20260720T065143Z_20260720T065643Z,NZDCAD,BUY,2026-07-20T06:57:39.354095+00:00,2026-07-20T07:06:10.186161+00:00,7,False,1,MICROBOOST_WATCH,SOURCE_CLEAN_BLOCK_ID,True,,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,USDCAD_20260720T065123Z_20260720T065623Z,USDCAD,SELL,2026-07-20T06:57:42.369156+00:00,2026-07-20T07:21:03.509159+00:00,17,False,1,MICROBOOST_WATCH,SOURCE_CLEAN_BLOCK_ID,True,,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,AUDUSD_20260720T065123Z_20260720T065623Z,AUDUSD,BUY,2026-07-20T06:57:43.301985+00:00,2026-07-20T07:21:05.544152+00:00,17,False,1,MICROBOOST_WATCH,SOURCE_CLEAN_BLOCK_ID,True,,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,EURGBP_20260720T065125Z_20260720T065625Z,EURGBP,SELL,2026-07-20T06:57:44.381554+00:00,2026-07-20T07:21:07.579617+00:00,17,False,1,MICROBOOST_WATCH,SOURCE_CLEAN_BLOCK_ID,True,,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,GBPNZD_20260720T065135Z_20260720T065635Z,GBPNZD,SELL,2026-07-20T06:57:49.063097+00:00,2026-07-20T07:20:21.604983+00:00,16,False,1,MICROBOOST_WATCH,SOURCE_CLEAN_BLOCK_ID,True,,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,CADCHF_20260720T065144Z_20260720T065644Z,CADCHF,BUY,2026-07-20T06:57:54.267444+00:00,2026-07-20T07:20:29.495848+00:00,16,False,1,MICROBOOST_WATCH,SOURCE_CLEAN_BLOCK_ID,True,,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,NZDCHF_20260720T065141Z_20260720T065641Z,NZDCHF,BUY,2026-07-20T06:59:55.031308+00:00,2026-07-20T07:05:44.715331+00:00,5,False,1,MICROBOOST_WATCH,SOURCE_CLEAN_BLOCK_ID,True,,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:AUDNZD:20260720T070010.127043Z:93e09d66fa2c6e9a,AUDNZD,SELL,2026-07-20T07:00:10.127043+00:00,2026-07-20T07:04:31.033215+00:00,4,False,1,MICROBOOST_WATCH,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:EURUSD:20260720T070016.494486Z:1b65d8292eb6dfb8,EURUSD,BUY,2026-07-20T07:00:16.494486+00:00,2026-07-20T07:04:17.730209+00:00,4,False,1,MICROBOOST_WATCH,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,EURUSD_20260720T070016Z_20260720T070516Z,EURUSD,BUY,2026-07-20T07:05:51.568631+00:00,2026-07-20T07:05:51.568631+00:00,1,False,1,MICROBOOST_WATCH,SOURCE_CLEAN_BLOCK_ID,True,,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,AUDNZD_20260720T070010Z_20260720T070510Z,AUDNZD,SELL,2026-07-20T07:06:04.587244+00:00,2026-07-20T07:06:04.587244+00:00,1,False,1,MICROBOOST_WATCH,SOURCE_CLEAN_BLOCK_ID,True,,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:AUDJPY:20260720T152208.967114Z:ac7811d80861ced3,AUDJPY,BUY,2026-07-20T15:22:08.967114+00:00,2026-07-20T15:23:39.478256+00:00,2,False,3,PRESSURE_CANARY,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:AUDCAD:20260720T152209.985287Z:03c2bd797ecf6dc2,AUDCAD,BUY,2026-07-20T15:22:09.985287+00:00,2026-07-20T15:23:40.368097+00:00,2,False,3,PRESSURE_CANARY,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:NZDCAD:20260720T152214.939692Z:bba28d90c8f25725,NZDCAD,BUY,2026-07-20T15:22:14.939692+00:00,2026-07-20T15:23:45.386384+00:00,2,False,3,PRESSURE_CANARY,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:XAUUSD:20260720T152218.656058Z:8c585d44d0d983b1,XAUUSD,BUY,2026-07-20T15:22:18.656058+00:00,2026-07-20T15:23:48.989102+00:00,2,False,3,PRESSURE_CANARY,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:XAGUSD:20260720T152219.121334Z:3d62b99a2a110278,XAGUSD,BUY,2026-07-20T15:22:19.121334+00:00,2026-07-20T15:23:49.571806+00:00,2,False,3,PRESSURE_CANARY,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:AUDUSD:20260720T152325.492864Z:050e7d62746df76b,AUDUSD,BUY,2026-07-20T15:23:25.492864+00:00,2026-07-20T15:26:13.172727+00:00,2,True,3,PRESSURE_CANARY,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:EURGBP:20260720T152327.895886Z:6ecf6108687caab3,EURGBP,SELL,2026-07-20T15:23:27.895886+00:00,2026-07-20T15:23:27.895886+00:00,1,False,3,PRESSURE_CANARY,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:EURCHF:20260720T152330.394866Z:53c00fd116aeaa39,EURCHF,BUY,2026-07-20T15:23:30.394866+00:00,2026-07-20T15:23:30.394866+00:00,1,False,3,PRESSURE_CANARY,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:EURAUD:20260720T152330.928370Z:cfa455af1488a9ee,EURAUD,SELL,2026-07-20T15:23:30.928370+00:00,2026-07-20T15:23:30.928370+00:00,1,False,3,PRESSURE_CANARY,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:EURNZD:20260720T152333.489812Z:f24820c56f954e5c,EURNZD,SELL,2026-07-20T15:23:33.489812+00:00,2026-07-20T15:23:33.489812+00:00,1,False,3,PRESSURE_CANARY,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
